Nr,Source,Pages
S13,Figure 2.3 What is most important in the lower figure is the primacy given to the autonomy-supportive motivating style. [...] The difference between the upper and lower figures is the claim that structure by itself cannot necessarily be expected to facilitate competence satisfaction and that involvement by itself cannot necessarily be expected to facilitate relatedness satisfaction.,p. 46
S14,"structure provided in an autonomy-supportive way can be expected to facilitate both competence and autonomy satisfaction, just as involvement provided in an autonomy-supportive way can be expected to facilitate both relatedness and autonomy satisfaction.",p. 46
S15,"OIT Proposition I: The process of organismic integration inclines humans naturally to internalize extrinsic motivations that are endorsed by significant others. However, the process of internalization can function more versus less effectively, resulting in different degrees of internalization that are the basis for regulations that differ in perceived locus of causality and thus the extent to which they are autonomous.",p. 56
S16,"OIT Proposition II: Internalization of extrinsic motivation can be described in terms of a continuum that spans from relatively heteronomous or controlled regulation to relatively autonomous self-regulation. External regulation describes extrinsic motivation that remains dependent on external controls; introjected regulation describes extrinsic motivation that is based on internal controls involving affective and selfesteem contingencies; regulation through identification describes extrinsic motivation that has been accepted as personally valued and important; and integrated regulation describes extrinsic motivation that is fully self-endorsed and has been well assimilated with other identifications, values, and needs. Regulations that lie further along this continuum from external toward integrated are more fully internalized, and the resulting behaviors are more autonomous.",p. 56
S17,"OIT Proposition III: Supports for the basic needs for competence, relatedness, and autonomy facilitate the internalization and integration of non-intrinsically motivated behaviors. To the extent that the context is controlling and/or relatedness or competence needs are thwarted, internalization, and particularly identification or integrated regulation, will be less likely.",p. 56
S18,"OIT Proposition IV: To the degree that people’s behavior is regulated through more autonomous or integrated forms of internalization, they will display greater behavioral persistence at activities, a higher quality of behavior, and more effective performance, especially for more difficult or complex actions.",p. 56
S19,"OIT Proposition V: To the degree that people’s behavior is regulated through more integrated forms of internalization, they will have more positive experiences and greater psychological health and well-being.",p. 56
S20,OIT proposes that all three basic psychological needs enhance the internalization process.,p. 57
S21,"the various behavioral regulations represent unique reasons to pursue behavior, that the regulations differ in their relative degree of autonomy, and that since relative autonomy is associated with better functioning, each type of regulation impacts the quality of experience and well-being differently (OIT Proposition III)",p. 62
S22,Figure 3.1 The schematic representation of organismic integration theory,p. 62
S23,"According to the third OIT proposition, factors in the social environment that support people’s psychological needs for relatedness, competence, and autonomy with respect to a relevant behavior or domain should facilitate greater internalization.",p. 64
S24,"the more people have internalized regulations and are autonomously motivated for an activity, the more they engage in the activity, which ultimately improves the quality of their performance and experience. In contrast, the more internalization and controlled motivation they experience, the less they engage in activities, and their performance declines or stops.",p. 67
S25,"autonomy-, competence-, and relatednesssupport facilitate the internalization of nonintrinsically motivated behaviors",p. 68
S26,thwarting these needs interferes with this process,p. 69
S27,"the more people’s behavior is internalized and regulated autonomously, the more people display behavioral persistence, higher-quality behavior, more effective performances, and greater psychological health and well-being.",p. 69
S28,Figure 4.1,
S29,"BPNT thus assumes that the phenotypic variation in people’s (mal)adaptative functioning can be traced to a large extent to the satisfaction and frustration of a limited set of underlying basic needs, that is, the needs for autonomy, competence, and relatedness.",
S30,"A key proposition within BPNT is that need satisfaction should replenish and mobilize energetic resources, thus fostering vitality (Ryan & Deci, 2017)",
S31,"Intrinsic aspirations—typically for personal growth, affiliation, community giving, and physical health—inherently satisfy basic psychological needs and, therefore, bolster wellness.",
S32,"Conversely, extrinsic aspirations—most commonly for wealth, fame, and beauty—do not directly satisfy needs and, in some cases, actively frustrate them, thus compromising well-being.",
S33,"Central to SDT’s formulation of goals is the claim that focusing on materialistic, extrinsically oriented goals deters well-being insofar as such goals predominate over or crowd out—more nonmaterialistic, intrinsic aspirations.",
S34,"Proposition 2: A relative emphasis on intrinsic or extrinsic aspirations will have contrasting effects on individual well-being. A more intrinsic aspirational focus will benefit wellness, while focusing primarily on extrinsic aspirations will deter well-being and promote ill-being.",
S35,"Proposition 3: The mechanism underpinning the differential links between intrinsic and extrinsic aspirations and well-being is the satisfaction and frustration of basic psychological needs. Intrinsic pursuits inherently satisfy basic psychological needs, thus boosting wellbeing. In contrast, extrinsic aspirations undermine need satisfactions and may actively frustrate psychological needs, thereby inducing ill-being.",
S36,Proposition 4: Goal progress and achievement will be more psychologically beneficial if goals are primarily intrinsic rather than extrinsic in nature. These effects are also mediated by basic psychological need satisfaction.,
S37,"Proposition 5: Experiences of control and basic psychological need frustration during development are conducive to the endorsement of extrinsic aspirations, which is related to compromised wellness.",
S38,Proposition 6: Goals framed in intrinsic terms will be more easily sustained and thus lead more readily to well-being than goals that are framed extrinsically.,
S39,"Proposition 7: To the degree that a specific goal or aspiration satisfies basic psychological needs, so too will it contribute to well-being.",
S40,Proposition 8: Increases in mindfulness will be accompanied by an increased focus on intrinsic aspirations because both support humans’ integrative nature.,
S41,"The Contagion of Intrinsic and Extrinsic Aspiring Candidate Proposition 1: Because individuals’ aspirations are often observable, there will be some degree of spread or contagion of aspiration orientations in close relationships.",
S42,"Candidate Proposition 2: To the degree that aspiration orientations are shared among close others, the differential consequences of intrinsic and extrinsic aspiring will also extend to close others, and possibly the broader community.",
S43,Candidate Proposition 3: Ambient information of an intrinsic or extrinsic nature is positively associated with the endorsement of aspirations that are similarly oriented.,
S44,a key proposition of RMT is that autonomous motivation contributes to the satisfaction and psychological wellness of both partners in the dyad.,
S45,"according to RMT (Deci & Ryan, 2014; Knee et al., 2013; Ryan & Deci, 2017, Chapter 12), self-determined motivations promote interest in partners’ perspectives and well-being and facilitate the energy and desire to empathize with close others. In all, such an orientation should promote attention to and care for one’s partner’s needs, resulting in behaviors such as support provision and sacrifice that foster relationship development.",
S46,"According to SDT, optimal psychological health and well-being emerge from the satisfaction of basic psychological needs for autonomy, competence, and relatedness.",
S47,"According to RMT, satisfaction of all three needs contributes to and defines high-quality relationships, whereas frustration of all three contributes to dysfunction, dissatisfaction, and ill-being.",
S48,"A key proposition in RMT is that the greater the mutuality in autonomy support, the greater the relationship satisfaction, attachment security, and well-being of partners. The benefits of need fulfillment derive uniquely from both giving and receiving psychological need support.",
S49,"Fulfillment of basic needs promotes self-determined motivation and true-self involvement, and these are what allow optimal relationship development and more effective relationship mechanisms and processes.",
S50,"A key proposition of RMT is that autonomy support facilitates authenticity and true-self expression. When basic psychological needs for autonomy, competence, and relatedness are fulfilled over time, an authentic, noncontingent, optimal sense of self-esteem that is based on being who one is rather than what one does is promoted (Hodgins, 2008). When these basic psychological needs are thwarted over time, a defensive, contingent, suboptimal sense of self-esteem evolves.",
S51,"need fulfillment supports autonomous motivations in which people engage in activities for their own sake, trusting that their needs will be met, whereas a lack of need fulfillment produces behavior driven by contingencies and acting in controlled ways. Thus relationship-contingent self-esteem is thought to partly derive from a lack of autonomy and personal endorsement of one’s involvement in the relationship, a lack of feeling competent in one’s relationship, and a lack of feeling genuinely validated, cared for, and understood by one’s partner. When these three basic needs are thwarted, one becomes defensive in relationship interactions as one’s sense of worth is threatened by negative evaluation and feedback (Patrick et al., 2007).",
S52,"One of RMT’s propositions is that when basic needs are turned against each other [synonym: conditional regard], poorer relationship quality and wellness result.",
